> BG_1
30.85542 2.70705
30.4783 2.81209
30.4748 3.5237
30.4713 4.23531
31 6
35.95212 5.5612
36.30847 6.13448
36.61646 6.30883
36.94743 6.43849
37.26595 6.60208
37.55324 6.81611
37.80925 7.06368
38.06018 7.31675
38.32106 7.55821
38.58228 7.79928
38.8384 8.05837
39.0777 8.3331
39.17912 8.4558
39.28747 8.57224
39.3578 8.64318
39.41636 8.72387
39.47501 8.86174
39.52781 9.00216
39.59914 9.14366
39.67074 9.2852
39.77774 9.62364
39.81217 9.97759
39.8225 10.31092
39.76416 10.63411
39.69801 10.77913
39.65682 10.9324
39.64962 11.09595
39.64846 11.25977
39.64475 11.61844
39.64931 11.97706
39.68215 12.35952
39.75484 12.73656
39.84733 13.11403
39.9281 13.49409
39.97297 13.8668
39.98968 14.24191
39.9216 14.59129
39.78683 14.92574
39.66537 15.27892
39.55949 15.63704
39.6707 15.7716
40.1716 16.304
40.2512 16.7851
40.3313 17.2662
39.9867 17.9494
39.5899 18.4193
39.2978 19.0298
38.8261 19.4475
38.3957 19.9075
38.0745 20.3891
37.9747 21.0213
37.8253 21.8434
37.5398 22.4945
37.0425 23.2259
36.5711 23.6392
36.4073 24.1327
36.2422 24.626
36.0661 25.0553
35.8888 25.4844
35.5456 25.9191
35.1999 26.353
34.8748 26.8078
33 28
32.5 29.25
30.5 29.25
30.5 30.25
32.0 31.5
31.99235 34.01461
31.66204 34.02687
31.33745 34.09755
30.66127 34.29495
29.96962 34.41301
29.61169 34.37947
29.26869 34.27139
28.97427 34.10474
28.71053 33.89226
28.59526 33.79547
28.46931 33.7135
28.33755 33.63993
28.23327 33.53289
28.16692 33.40865
28.08759 33.29221
27.95196 33.18398
27.79576 33.10746
27.45779 32.99702
27.12991 32.8621
26.99054 32.77007
26.85198 32.67638
26.68464 32.58114
26.51056 32.49882
26.15244 32.38664
25.77864 32.36409
25.44454 32.45063
25.13411 32.60474
24.98472 32.67982
24.82848 32.73897
24.65247 32.77084
24.47352 32.77811
24.31806 32.7867
24.16917 32.82902
24.02972 32.92929
23.89413 33.03775
23.2441 33.263
22.55044 33.29028
22.22864 33.26915
21.90645 33.2574
21.5525 33.29082
21.20529 33.36749
21.04819 33.39472
20.88816 33.39371
20.73223 33.38555
20.57808 33.40497
20.51623 33.43127
20.46196 33.47092
20.4165 33.52872
20.37097 33.58566
20.25028 33.66264
20.11756 33.71873
19.98469 33.78279
19.86841 33.87296
19.76017 34.0039
19.6466 34.12993
19.38054 34.26245
19.1303 34.0167
18.4348 33.3829
17.7493 32.7452
17.0737 32.1039
16.72314 31.72656
16.76213 31.6232
16.84101 31.52081
16.9422 31.4386
17.02073 31.33335
17.04332 31.2021
17.03551 31.05092
17.02007 30.90029
17.00274 30.87136
16.96123 30.87178
16.91915 30.87182
16.87714 30.87368
16.79482 30.88258
16.71343 30.89782
16.37848 31.01441
16.05834 31.1696
15.7504 30.8107
14.8114 31.3067
13.8625 31.7958
12.9035 32.2778
11.9344 32.7524
10.955 33.2195
9.96522 33.6789
8.96486 34.1303
8.80201 34.13944
8.45193 34.184
8.11655 34.29174
7.80794 34.45362
7.49902 34.61501
7.19389 34.73941
6.88934 34.86622
6.58618 35.01232
6.28624 35.16492
5.62874 35.50769
4.94866 35.80133
4.6091 35.9033
4.26761 35.999
4.09675 36.05564
3.92983 36.12294
3.78817 36.19223
3.64211 36.25029
3.32027 36.24147
3.01196 36.13223
2.72579 36.00357
2.44944 35.85503
2.16195 35.70207
1.85724 35.5875
1.50209 35.4986
1.14706 35.40909
-0.24119 34.97147
-1.58975 34.42515
-1.71301 34.0705
-1.87336 33.62647
-2.07071 33.14543
-2.34206 32.68906
-2.51474 32.28204
-2.78609 31.73933
-3.04511 31.25829
-3.43981 30.85126
-3.73583 30.53057
-4.20453 30.24689
-4.53756 30.08654
-5.00626 30.13588
-5.31461 30.4319
-5.58597 30.87593
-5.80798 31.41864
-5.95599 31.89967
-6.12867 32.36838
-6.36302 32.89875
-6.54804 33.42912
-6.70838 33.84848
-6.90573 34.36652
-7.14871 34.75218
-7.81502 34.69458
-8.48087 34.65129
-8.65703 34.67791
-8.83106 34.7164
-8.99338 34.75968
-9.14722 34.82513
-9.39874 35.08392
-9.57064 35.40661
-9.60503 35.47292
-9.66921 35.49025
-9.73798 35.47071
-9.80483 35.44499
-9.95917 35.37876
-10.1122 35.30937
-10.27691 35.23595
-10.44758 35.17862
-10.61059 35.15765
-10.77542 35.14972
-11.47314 35.14465
-12.15969 35.26233
-12.85629 35.50147
-13.5677 35.68529
-14.31502 35.61864
-15.01792 35.33869
-15.36889 35.18496
-15.73325 35.0676
-16.08251 35.01677
-16.43569 35.02017
-17.13446 35.20349
-17.77737 35.54115
-18.3785 35.98728
-18.94257 36.48254
-19.54107 36.91385
-19.6823 37.0251
-20.2403 36.9543
-20.7973 36.8809
-21.5072 36.8197
-22.216 36.7543
-22.8933 36.702
-23.5697 36.6459
-24.0456 36.7548
-24.1461 36.7885
-24.2554 36.781
-24.3111 36.7925
-24.3846 36.8633
-24.4337 36.9105
-24.5002 36.9707
-24.5541 37.0172
-24.6345 37.0946
-24.6805 37.1267
-24.7495 37.2174
-24.7379 37.2733
-24.7022 37.3519
-24.6669 37.411
-24.7332 37.4673
-24.7748 37.5001
-24.8164 37.5328
-24.8451 37.5519
-24.8915 37.5839
-24.9315 37.6091
-24.9835 37.6441
-25.1013 37.6463
-25.2671 37.7692
-25.3547 37.6633
-25.4265 37.7185
-25.4638 37.7517
-25.5384 37.8181
-25.6332 37.7225
-25.6984 37.7902
-25.7341 37.8159
-25.8081 37.8783
-25.9162 37.8386
-26.0432 37.9355
-26.0752 37.9655
-26.1714 38.036
-26.3021 38.0468
-26.3787 38.1164
-26.4166 38.1493
-26.4943 38.2225
-26.5323 38.2554
-26.6141 38.324
-26.6474 38.3576
-26.718 38.4202
-26.8299 38.2782
-26.9006 38.3601
-26.9408 38.4003
-27.0068 38.4635
-27.0289 38.4911
-27.0895 38.5706
-27.129 38.607
-27.1743 38.6658
-27.2033 38.6999
-27.2394 38.7796
-27.4844 38.7824
-27.5588 38.8363
-27.60916 38.81109
-27.89703 38.76993
-28.22441 38.72235
-28.57244 38.67416
-28.91915 38.61721
-29.578 38.48523
-30.23688 38.35471
-30.4301 38.3883
-30.6055 38.4025
-31.0706 37.6802
-31.3713 37.7049
-31.5164 37.2823
-32.2826 37.3915
-32.3946 37.1369
-32.6456 37.1763
-32.7077 37.0333
-32.9431 37.0654
-33.0049 36.9159
-33.2246 36.9408
-33.3135 36.691
-33.5947 36.7422
-33.7717 36.185
-33.9816 36.2212
-34.0568 36.0713
-34.1424 36.0794
-34.3354 35.616
-34.4595 35.6246
-34.7464 35.0102
-35.5584 35.1477
-36.3731 35.2798
-36.6231 34.6929
-36.7846 34.7122
-36.8618 34.5542
-37.0461 34.5669
-37.2446 34.1238
-37.3364 34.1362
-37.5328 33.7052
-37.6776 33.7362
-37.7975 33.5012
-38.5972 33.637
-39.3993 33.7676
-39.586 33.0673
-39.6999 33.0841
-40.1293 32.444
-40.5526 31.8025
-40.71 31.8173
-41.1836 31.1941
-41.4304 31.237
-41.7857 30.6056
-42.1364 29.9733
-42.7286 30.0697
-43.0373 29.4714
-43.0882 29.4691
-43.4828 28.8021
-43.5632 28.8108
-43.9423 28.1049
-44.0217 28.1069
-44.2031 27.6713
-44.3831 27.2355
-44.5059 27.2538
-44.687 26.7668
-44.8666 26.2796
-44.8163 26.27
-44.8989 26.0554
-45.0917 26.0814
-45.296 25.6367
-45.4988 25.1918
-45.7915 25.2542
-46.1188 24.5904
-46.1961 24.5974
-46.4758 23.9174
-45.6993 23.7836
-44.9245 23.6459
-45.0239 22.9632
-45.0658 22.9731
-45.1574 22.3898
-45.2483 21.8064
-45.3853 21.8223
-45.5152 21.2465
-45.4187 21.2217
-45.557 20.5958
-45.7737 20.618
-45.9398 19.8022
-46.0015 19.8227
-46.0932 19.3773
-46.1844 18.9319
-46.2243 18.9351
-46.3182 18.4215
-46.3907 18.422
-46.5202 17.5883
-46.4072 17.5663
-46.4982 17.0865
-46.589 16.607
-46.529 16.587
-46.648 16.019
-46.766 15.451
-45.947 15.36
-45.13 15.267
-45.136 14.647
-45.142 14.026
-45.0614 13.9917
-45.0493 13.3358
-45.0373 12.6799
-44.262 12.6256
-44.2775 12.1008
-43.8845 12.0854
-43.9026 11.5062
-43.9206 10.927
-43.4482 10.9055
-42.9758 10.8832
-42.5035 10.8602
-42.0313 10.8365
-41.5592 10.8121
-41.0871 10.7869
-41.0829 9.97939
-40.8615 9.97269
-40.8648 9.38937
-40.6402 9.37285
-40.6522 8.8406
-40.1196 8.81526
-40.1408 8.21537
-39.6608 8.19726
-39.1808 8.17858
-38.7009 8.15934
-38.221 8.13953
-38.2065 7.70334
-37.5356 7.67935
-36.8648 7.65432
-36.8514 7.40089
-36.0577 7.36342
-36.0469 7.02322
-35.3665 6.93495
-35.3629 6.61393
-34.4937 6.61577
-33.6244 6.6176
-33.6203 6.10421
-33.5136 6.07619
-33.5068 5.64946
-32.978 5.64716
-32.9198 4.80377
-32.8617 3.96038
-32.387 3.9859
-31.9122 4.01114
-31.4374 4.03611
-30.9625 4.06081
-30.8868 3.25477
-30.8113 2.44874
-30.7358 1.64269
-30.0269 1.60709
-29.9203 0.7974
-29.2096 0.84891
-28.3465 0.95303
-27.8309 1.00748
-27.3153 1.06184
-26.474 1.15918
-26.2887 0.49814
-25.6591 0.55617
-25.0294 0.61413
-24.8206 -0.24459
-24.6117 -1.10331
-24.0507 -1.03387
-23.4897 -0.96432
-22.9355 -0.8804
-22.3813 -0.79639
-21.5437 -0.68022
-21.0168 -0.58849
-20.4899 -0.49671
-19.6747 -0.33338
-18.8497 -0.17611
-18.3693 -0.07275
-17.8889 0.03061
-17.3229 0.14961
-16.7569 0.26859
-16.4982 0.29895
-16.2522 -0.5562
-16.0372 -0.51963
-15.8406 -1.1432
-15.5652 -1.07324
-15.4103 -1.49342
-14.6594 -1.30094
-13.9087 -1.10824
-13.158 -0.91535
-12.9298 -1.50722
-12.7014 -2.09908
-12.1641 -1.94545
-11.9989 -2.40025
-11.8336 -2.85504
-12.0293 -3.01345
-11.8975 -3.49273
-11.7655 -3.97199
-12.0968 -4.10303
-12.0386 -4.58743
-12.1445 -4.60882
-12.0185 -5.02557
-11.6044 -4.94231
-11.5161 -5.41504
-11.1669 -5.37706
-11.0222 -5.93021
-11.2671 -6.02023
-11.1805 -6.75542
-11.9933 -6.96082
-12.8068 -7.16482
-13.621 -7.3674
-13.4894 -7.88908
-13.3574 -8.41071
-13.1911 -8.37401
-13.023 -9.22523
-13.2482 -9.27648
-13.1663 -9.79444
-13.3151 -9.82468
-13.1736 -10.6231
-13.0313 -11.4215
-13.5243 -11.5387
-14.0177 -11.6551
-14.5115 -11.7706
-15.0058 -11.8853
-14.9077 -12.339
-14.8611 -12.3196
-14.791 -12.6562
-14.5501 -12.577
-14.4102 -13.2181
-14.5996 -13.2655
-14.5391 -13.7366
-14.4784 -14.2077
-13.6428 -14.0355
-13.4352 -14.8494
-13.2261 -15.6632
-13.3835 -15.6882
-13.2386 -16.2117
-13.7702 -16.3229
-14.3024 -16.4327
-14.2381 -16.7645
-14.3688 -16.777
-14.2242 -17.3859
-14.0786 -17.9946
-13.5189 -17.893
-12.9598 -17.7898
-12.8598 -18.2872
-12.7593 -18.7845
-12.4772 -18.7465
-12.3703 -19.3409
-12.2626 -19.9353
-11.9446 -19.8248
-11.8522 -20.2784
-11.9708 -20.2991
-11.7632 -21.1759
-12.0066 -21.2091
-11.8495 -21.7351
-11.9359 -21.7522
-11.8192 -22.1534
-12.3643 -22.2671
-12.9102 -22.379
-12.8511 -22.6298
-13.3398 -22.7302
-13.8293 -22.8292
-13.6637 -23.5442
-13.5703 -23.5143
-13.4259 -24.1458
-13.2801 -24.7771
-13.8106 -24.8874
-13.6632 -25.648
-14.0485 -25.7376
-13.8156 -26.5856
-13.6896 -26.5644
-13.4823 -27.4429
-13.2716 -28.321
-12.7456 -28.2133
-12.5326 -28.9409
-13.2624 -29.098
-13.9902 -29.251
-13.8201 -29.8515
-13.7159 -29.828
-13.5428 -30.4913
-13.3666 -31.1567
-13.4988 -31.1791
-13.3714 -31.6612
-13.2453 -32.1432
-13.883 -32.2745
-14.5229 -32.4002
-14.4461 -32.8976
-14.3668 -33.4989
-14.7018 -33.5691
-14.5151 -34.0434
-15.2741 -34.2376
-15.0834 -34.6898
-15.2659 -34.7702
-15.1 -35.1824
-16.0274 -35.3431
-16.9619 -35.4994
-17.7032 -35.6633
-17.4191 -36.0684
-17.0847 -36.4724
-17.4404 -36.5623
-17.3331 -36.9436
-17.2335 -37.3744
-17.5331 -37.4724
-17.3878 -38.0251
-17.0505 -38.4467
-16.7985 -38.4012
-16.361 -38.5584
-16.0438 -38.8834
-15.9651 -39.3516
-15.9224 -39.6807
-16.4146 -39.79
-16.4698 -40.2729
-16.8674 -40.3663
-16.8166 -40.7897
-16.7436 -41.1763
-16.678 -41.5191
-16.3316 -41.8065
-16.2146 -42.3377
-16.4299 -42.8677
-16.3296 -43.387
-16.2445 -43.6835
-16.0856 -44.1319
-15.9242 -44.58
-15.7603 -45.0279
-15.5939 -45.4756
-14.894 -45.3714
-14.7155 -45.8985
-13.81 -45.7972
-13.5715 -46.6878
-13.3251 -47.5778
-12.6102 -47.4714
-11.8982 -47.3605
-11.1892 -47.2452
-10.4834 -47.1256
-10.2958 -47.6487
-10.1045 -48.1715
-9.90926 -48.6939
-9.70992 -49.216
-8.92248 -49.0912
-8.13908 -48.961
-8.02211 -49.2826
-7.96086 -49.2702
-7.63767 -50.0587
-7.43284 -50.0013
-7.15851 -50.6096
-6.15983 -50.4171
-5.16942 -50.2161
-4.94334 -50.6749
-4.71279 -51.1333
-4.47762 -51.5912
-4.23767 -52.0486
-3.95559 -51.9788
-3.44688 -52.764
-2.91952 -53.5469
-2.37231 -54.3274
-1.3822 -54.0533
-0.91465 -54.4535
-0.4379 -54.8518
-0.03883 -54.6772
> AM_1
137.848 38.4846
137.774 38.9816
137.845 39.4043
138.085 39.6594
138.352 39.8324
138.655 40.0722
138.655 40.4744
138.756 40.7823
138.475 41.103
138.489 41.4818
138.743 41.7693
138.76122 42.54273
138.75 44.7
140.39962 46.58412
141.46486 46.58192
141.178 47.3923
142.023 48.0512
142 54
141.278 54.0742
140.145 54.1028
139.211 54.3328
137.918 54.5883
136.61 54.8299
135.138 55.0602
133.65 55.2726
132.674 55.4913
131.688 55.7022
130.747 55.8611
129.798 56.0127
128.393 56.4015
126.96 56.7741
125.499 57.1299
124.573 57.1781
123.645 57.2194
122.715 57.2538
121.784 57.2814
120.851 57.3021
119.918 57.3159
119.021 57.1509
118.133 56.9796
117.253 56.8021
116.382 56.6184
115.89992 56.37775
115.37368 56.25436
114.85332 56.10624
114.33961 56.01259
113.81971 55.95928
113.28272 55.89352
112.755 55.77573
112.24455 55.58356
111.75908 55.33409
111.13791 54.97024
110.57244 54.52809
110.33903 54.27696
110.1166 54.01609
109.87143 53.77362
109.58286 53.5847
108.90629 53.3116
108.21534 53.07343
107.52392 52.7869
106.82307 52.52525
106.68443 52.48897
106.54579 52.45272
106.362 52.4305
105.705 52.0994
105.058 51.7648
104.42 51.4267
104.904 50.786
105.375 50.1433
105.582 49.2921
105.781 48.4406
105.916 47.9102
106.048 47.3797
106.177 46.849
106.304 46.3182
106.46 45.8748
106.614 45.4311
106.765 44.9873
106.914 44.5432
107.061 44.099
119.0 45.5
122.732 42.1878
123.51 41.5302
124.272 40.8675
125.019 40.1999
125.199 39.7415
125.376 39.2829
125.551 38.824
125.723 38.3648
125.914 37.5413
126.4822 37.43805
127.63074 37.33364
128.9359 37.20312
130.31938 37.12481
131.52013 37.0465
133.11243 37.0465
134.67863 36.99429
136.11431 37.15091
137.848 38.4846
> AN_1
7.23729 -54.1012
6.6254 -53.8142
6.18373 -54.1145
5.49469 -54.5429
5.08372 -54.3093
4.82661 -54.1616
4.41458 -54.4303
3.95638 -54.1267
3.36894 -53.8341
3.02542 -53.6507
2.35975 -54.0374
1.69481 -54.399
0.96453 -54.8322
0.44318 -54.4512
-0.03883 -54.6772
-0.4379 -54.8518
-1.03898 -55.019
-1.60588 -55.1293
-1.61369 -55.6529
-2.07998 -55.6568
-2.89625 -55.7072
-3.72024 -55.7399
-4.05601 -55.7694
-4.69061 -55.8072
-4.67546 -56.2102
-4.69342 -56.5916
-5.44832 -56.627
-6.05679 -56.6721
-6.09431 -56.9823
-6.13025 -57.2402
-6.53815 -57.27
-6.99917 -57.3176
-7.01278 -57.6172
-7.00902 -57.8694
-7.52477 -57.9204
-8.60685 -57.9888
-9.88532 -58.0915
-11.1897 -58.1577
-12.6489 -58.2406
-13.9543 -58.3173
-15.0689 -58.3904
-15.9715 -58.4388
-16.0047 -58.4593
-16.2258 -58.7672
-16.41 -59.0984
-16.9169 -59.0982
-17.667 -59.1289
-18.06 -59.1526
-18.1233 -59.5093
-18.4325 -59.5423
-18.5472 -59.9376
-18.6464 -60.25
-19.3705 -60.2891
-19.5812 -60.8108
-20.651 -60.7817
-21.7186 -60.7441
-22.9137 -60.7232
-24.1069 -60.6917
-25.0935 -60.545
-26.0709 -60.391
-26.8895 -60.506
-27.6967 -60.6171
-28.7433 -60.601
-29.7382 -60.5753
-31.0139 -60.5118
-32.367 -60.4089
-33.4464 -60.7009
-34.8252 -60.9895
-36.4181 -61.392
-37.5605 -61.2433
-39.093 -61.018
-39.827 -60.634
-41.2136 -60.975
-42.0674 -60.801
-43.1509 -60.6761
-44.2259 -60.5725
-45.6034 -60.4915
-46.9632 -60.3598
-48.2507 -60.3684
-49.5994 -60.4436
-50.8871 -60.6936
-51.1194 -60.8725
-52.0681 -61.1027
-53.1221 -61.2366
-54.3007 -61.5102
-55.4359 -61.6868
-56.3056 -62.0627
-57.3896 -62.3038
-58.6143 -62.5533
-60.118 -62.9452
-61.7501 -63.2928
-62.4198 -63.0013
-63.2916 -62.8247
-63.9693 -62.4224
-63.1053 -62.11
-62.2029 -61.8412
-61.3323 -61.5431
-60.6502 -61.3632
-59.836 -61.1768
-58.8906 -61.0818
-58.1308 -60.9615
-57.4938 -60.8546
-56.925 -60.5647
-58.223 -59.9993
-58.9698 -59.7285
-59.7045 -59.4535
-61.0399 -59.0105
-62.5714 -58.6029
-63.5707 -58.3592
-64.617 -57.9586
-65.8672 -57.7363
-67.1018 -57.5019
-68.0972 -57.0717
-69.2561 -56.8522
-70.4011 -56.622
-71.5481 -56.2552
-72.2772 -55.9624
-72.9952 -55.6654
-73.4799 -55.359
-74.1202 -55.0037
-74.7492 -54.6451
-75.2389 -54.2941
-75.7203 -53.9412
-76.0197 -53.4352
-76.3121 -52.9285
-76.4833 -52.0684
-76.6257 -51.3775
-76.7565 -50.7289
-76.9898 -49.8446
-77.024 -49.1923
-76.9255 -48.5065
-76.6497 -47.8746
-76.321 -47.4777
-75.9972 -47.0799
-75.9581 -46.422
-76.0062 -45.6585
-76.6746 -45.6427
-77.6607 -45.7605
-77.764 -45.5885
-77.9902 -45.0916
-78.2065 -44.4111
-78.8933 -44.5449
-79.5858 -44.6655
-80.2811 -44.7819
-81.1065 -44.876
-81.9346 -44.9641
-82.1377 -44.404
-82.3507 -43.639
-82.5089 -42.8607
-83.4475 -42.9815
-83.4538 -42.873
-83.6037 -42.2225
-83.7162 -41.6737
-83.8269 -41.1247
-84.487 -41.1909
-85.1484 -41.2533
-86.2401 -41.3925
-87.3364 -41.5213
-87.4171 -41.2729
-88.4467 -41.3187
-89.2496 -41.3781
-90.054 -41.4319
-90.0876 -41.0585
-90.7391 -41.0823
-91.391 -41.1025
-91.4756 -40.7319
-91.5122 -40.2824
-91.5483 -39.8329
-91.6035 -39.3493
-91.6579 -38.8656
-92.3397 -38.9184
-93.0225 -38.9673
-93.0748 -38.4294
-93.9963 -38.4823
-94.0931 -37.717
-94.1298 -37.0006
-94.9095 -36.9851
-95.6889 -36.9646
-96.5515 -36.9209
-97.4131 -36.871
-97.4017 -36.2936
-98.4167 -36.1928
-99.5318 -36.1332
-100.645 -36.0632
-101.286 -35.997
-101.926 -35.9274
-102.565 -35.8544
-103.202 -35.7781
-103.998 -35.6944
-104.793 -35.6055
-105.391 -35.5236
-105.988 -35.4388
-106.666 -35.3935
-107.343 -35.3445
-108.071 -35.2404
-108.797 -35.1319
-109.259 -34.5446
-109.691 -34.6092
-109.919 -34.7019
-110.141 -34.8171
-110.326 -34.946
-110.527 -35.0613
-110.827 -35.0908
-110.877 -35.3191
-110.895 -35.7967
-110.579 -35.8301
-110.715 -36.2186
-110.739 -36.3578
-110.471 -36.4102
-110.668 -37.0423
-110.869 -37.6741
-111.067 -38.276
-111.268 -38.8776
-111.27 -38.9785
-110.391 -38.9858
-110.533 -39.5749
-110.677 -40.1638
-110.754 -40.7597
-110.832 -41.3555
-110.954 -42.2487
-111.349 -42.2004
-111.538 -42.6833
-111.73 -43.1659
-111.971 -43.7738
-112.216 -44.3811
-112.381 -44.9378
-112.55 -45.4942
-112.675 -45.8327
-112.426 -45.8544
-112.685 -46.5385
-112.95 -47.2221
-113.131 -47.7733
-113.315 -48.3242
-113.528 -48.841
-113.745 -49.3574
-113.875 -49.8489
-114.556 -49.721
-115.233 -49.5892
-116.388 -49.3675
-116.802 -49.8934
-117.225 -50.4178
-117.522 -50.8747
-117.824 -51.3309
-118.12 -51.7718
-118.422 -52.212
-118.875 -52.7524
-118.977 -52.8974
-117.661 -53.1241
-118.037 -53.6908
-118.313 -54.3503
-118.581 -54.8185
-119.685 -54.6416
-120.663 -54.4098
-121.228 -55.2189
-121.635 -55.8321
-121.862 -56.0262
-122.655 -55.8731
-123.442 -55.715
-124.262 -55.5873
-125.077 -55.4541
-126.197 -55.1382
-126.8 -55.0641
-127.231 -55.5654
-128.624 -55.3215
-129.345 -55.1286
-130.059 -54.9314
-131.375 -54.6229
-132.126 -54.4323
-132.87 -54.2371
-134.205 -53.8871
-135.307 -53.643
-136.18 -53.3957
-136.59 -53.9067
-137.522 -53.6878
-137.89 -53.5679
-138.338 -54.141
-138.799 -54.7123
-139.253 -55.2509
-139.578 -55.6146
-139.191 -55.7249
-139.545 -56.2678
-140.041 -56.7722
-140.325 -57.0528
-141.211 -56.8392
-142.086 -56.6193
-143.324 -56.2625
-144.482 -55.9103
-144.857 -55.7842
-145.412 -56.2277
-145.979 -56.6686
-146.681 -57.3076
-147.167 -57.6379
-147.692 -57.5547
-148.276 -58.13
-149.264 -58.8221
-149.809 -59.3141
-150.382 -59.7176
-151.329 -59.4694
-152.119 -60.1575
-152.943 -60.8407
-153.661 -61.3992
-154.181 -61.8361
-154.324 -61.7762
-155.254 -62.4327
-156.022 -62.9525
-156.717 -63.324
-157.601 -63.07
-158.394 -62.7885
-158.703 -63.0044
-159.888 -62.5954
-160.43 -62.9233
-161.338 -62.6144
-162.061 -62.3936
-163.001 -62.9675
-163.921 -63.4667
-165.149 -63.007
-166.199 -62.6056
-166.608 -62.49
-167.513 -63.106
-168.379 -63.7303
-169.109 -64.2448
-169.839 -64.7637
-170.043 -64.8585
-171.3 -64.3564
-172.517 -64.9783
-173.709 -65.5061
-174.418 -65.8352
-175.07 -65.505
-175.729 -65.1825
-177.072 -65.6069
-177.926 -65.8623
-178.793 -66.1632
-180.000 -65.9859
-180.000 -90.000
180.000 -90.000
180.000 -65.7385
179.381 -65.4773
178.759 -65.274
