100.227699 -3.23894 34.392 5.5 2009-04-15T17:47:28 nugraha1
100.259827 -3.290123 26.002 6.4 2009-04-15T20:01:34 nugraha2
97.259911 3.41656 62.888 4.5 2009-04-16T13:33:15 nugraha3
100.295547 -3.365196 28.323 5.2 2009-04-16T20:51:44 nugraha4
102.242599 -4.42233 82.835 3.1 2009-04-17T07:30:49 nugraha5
102.160576 -4.73484 11.32 3.8 2009-04-18T09:35:40 nugraha6
99.285866 -1.500969 17.37 4.2 2009-04-18T20:05:28 nugraha7
100.0485 -1.454207 47.716 3.9 2009-04-18T22:39:08 nugraha8
99.020851 2.797607 160.939 5.1 2009-04-19T11:10:00 nugraha9
107.895485 -8.117161 33.973 4.1 2009-04-23T06:47:37 nugraha10
117.306877 -7.882843 279.248 4.9 2009-04-23T10:51:21 nugraha11
118.783913 -11.183485 106.704 5.1 2009-04-24T22:54:56 nugraha12
119.457375 -7.336477 421.727 4.5 2009-04-25T10:23:36 nugraha13
110.094223 -7.71972 160.063 2.8 2009-04-27T01:05:10 nugraha14
102.714493 -4.638596 48.195 4.2 2009-04-27T05:29:00 nugraha15
103.308594 -5.325164 14.572 5 2009-04-27T09:33:40 nugraha16
99.347244 0.615834 88.115 3.4 2009-04-29T11:51:14 nugraha17
118.781502 -10.582788 28.138 5.2 2009-04-29T21:31:25 nugraha18
120.180267 -7.38498 540.715 5 2009-04-30T00:44:49 nugraha19
126.847748 -6.853368 409.884 4.7 2009-05-01T09:07:53 nugraha20
124.772682 -7.154956 530.093 4.4 2009-05-02T21:21:06 nugraha21
106.115311 -8.922229 3.161 4.4 2009-05-04T03:40:42 nugraha22
119.980255 -7.589756 609.938 5.1 2009-05-04T07:47:06 nugraha23
116.756454 -7.898514 7.625 4.1 2009-05-04T10:51:54 nugraha24
120.725838 -9.689289 90.044 4.3 2009-05-04T15:50:48 nugraha25
119.283951 -9.267718 66.183 4.3 2009-05-07T00:25:59 nugraha26
109.010864 -8.38235 13.354 4.9 2009-05-07T07:03:33 nugraha27
100.153137 -1.724009 42.307 4.3 2009-05-07T20:29:27 nugraha28
97.549538 3.116601 12.226 5.1 2009-05-08T13:19:02 nugraha29
118.583626 -11.092821 97.098 4.9 2009-05-09T00:28:58 nugraha30
101.205536 -5.486751 41.354 5.1 2009-05-10T08:58:25 nugraha31
110.468376 -7.975094 3.613 3.6 2009-05-13T18:31:10 nugraha32
97.583992 4.202192 145.745 4.3 2009-05-14T09:31:04 nugraha33
125.578995 -7.341212 482.239 4.8 2009-05-16T02:16:49 nugraha34
110.435905 -8.013942 5.951 3.5 2009-05-17T23:08:12 nugraha35
101.078819 -4.440136 21.562 5 2009-05-18T10:09:44 nugraha36
119.413948 -7.703239 262.158 4.5 2009-05-18T23:03:34 nugraha37
108.601776 -8.896091 6.303 3.9 2009-05-19T09:10:18 nugraha38
124.246307 -8.870853 105.791 5.1 2009-05-20T11:59:20 nugraha39
120.514915 -9.709223 24.899 3.6 2009-05-20T16:52:19 nugraha40
114.796822 -8.889276 95.818 3.2 2009-05-20T17:19:10 nugraha41
110.39785 -8.041746 4.749 3.3 2009-05-21T10:08:53 nugraha42
102.571159 -3.892002 93.455 4.4 2009-05-21T18:50:26 nugraha43
